"id","pregunta","rta1","rta2","rta3","correct"
1,Resistencia es conocida como:,La ciudad de las esculturas,Ciudad Museo,Ciudad Capital,rta1
2,¿Cuántas esculturas hay en Resistencia?,"200","700","600",rta3
3,¿En qué sectores se divide geográficamente la provincia del Chaco?,"Litoral Chaqueño, centro Chaqueño e Impenetrable Chaqueño",Litoral Chaqueño e Impenetrable Chaqueño,Chaco Boreal y Chaco Austral,rta1
4,"Campo del Cielo: Patrimonio Cultural y Turístico del Chaco, ¿Dónde se ubica?",Maipú,Bermejo,"12 de Octubre",rta3
5,Al norte el límite natural establecido entre la Provincia de Chaco y Formosa es:,Pilcomayo,Paraná,Bermejo,rta3
6,"Al sur, el límite establecido entre la Provincia del Chaco y Santa Fe es:",Paralelo 28,Paralelo 30,Paralelo 29,rta1
7,El ex ferrocarril General Belgrano conectaba a:,Puerto de Barranqueras con Formosa,Puerto de Barranqueras con Salta,Puerto de Barranquera con Santiago del Estero,rta2
8,"En el ámbito automovilístico deportivo Chaco tiene un exponente a nivel nacional e internacional, ¿Quién es?",Juan Manuel Silva,Giorgio Carrara,Marcos Siebert,rta1
9,"En el ámbito de los juegos olímpicos, el Chaco tiene un medallista en:",Básquet,Fútbol,Jockey,rta1
10,"Marcela Gómez, chaqueña, participó en los Juegos Olímpicos de Tokio en:",Natación,Remo,Atletismo,rta3
11,El club de fútbol más antiguo del Chaco es,For Ever,Sarmiento,Don Orione,rta2
12,"Por Decreto N° 1491 el Gobierno de la Provincia del Chaco se declaró a un instrumento musical como “Patrimonio Cultural de la provincia del Chaco”, ¿Cuál es?",Acordeón,N´viké,Charango,rta2
13,"La palabra Chacú del cual deriva el nombre de nuestra provincia, tenía un significado ¿Cuál era?",Caza comunal de animales,Nombre de un árbol que abunda en la región,Nombre de un animal,rta1
14,La superficie total de la provincia del Chaco es de:,"99.633 Km²","32.565 Km²","29.900 Km²",rta1
15,La población actual del Chaco oscila entre:,"300.000","2.000.000","1.000.000",rta3
17,"Un escritor reconocido en el ámbito chaqueño recibió el Premio Pionero de la Letras Chaqueñas, otorgado por la provincia del Chaco y la SADE local en 1985. ¿Quién fue?",Tony Zalazar,Aledo Luis Meloni,Tete Romero,rta2
18,En la bandera del Chaco hay un arado rodeado de 25 estrellas ¿Qué representan?,Los departamentos provinciales,Las ciudades principales,Grandes personajes que forzaron Chaco,rta1
19,En un emblemático edificio de la ciudad de Resistencia se encuentra un mural del reconocido pintor Emilio Pettoruti ¿Dónde se encuentra emplazado?,La Municipalidad de la Ciudad,El Fogón de los Arrieros,Casa de Gobierno,rta3
20,La producción destacada chaqueña que perdura en la memoria y porla cual se la reconoce a la provincia fue:,Caña de azúcar,Algodón,Producción de tanino,rta2
21,¿Cuál es la flor provincial del Chaco?,Flor del cardo,Flor del Ceibo,Flor rosada del palo borracho,rta3
22,Un conjunto coral chaqueño fue reconocido como “Patrimonio Cultural Viviente” ¿Cuál es?,El coro polifónico de Resistencia,El coro de niños,El coro Chelaalapí,rta3
23,En 1939 es erigida la Diócesis de Resistencia ¿Quién fue el primer obispo?,Gabriel Grotti,Nicolás de Carlo,José Alumni,rta2
24,El Puente General Belgrano que une las provincias de Chaco y Corrientes se terminó de construir en:,"1973","1974","1976",rta2
25,¿Quién fue el primer gobernador de la Provincia del Chaco?,Felipe Gallardo,Danilo Baroni,Deolindo Bittel,rta1
26,Desde cuándo existe la Provincia del Chaco:,"8 de Agosto de 1951","8 de Agosto de 1958","8 de Agosto de 1955",rta1
27,"Nuestras primeras poblaciones originarias, pertenecían a las etnias:","Qom, Moqoi, Wichi y Vilelas",Guaraníes,Todas son correctas,rta1
28,La primera ciudad colonial del Chaco fue,Esteco,Concepción del Bermejo,San Fernando del Río Negro,rta2
29,San Fernando del Río Negro fue una,Ciudad española,Reducción de los jesuitas,Misión franciscana,rta2
30,¿Qué reducciones franciscanas se fundaron en el actual territorio del Chaco a finales del siglo XVIII?,San Carlos del Timbo,San Bernardo de Vértiz,Nuestra Señora de los Dolores de la Cangaye,rta3
31,La Gobernación del Chaco se creó en,"1810","1862","1900",rta2
32,La ley 1532 divido a la Gobernación del Chaco en,Dos Gobernaciones (Chaco Austral y Chaco Central),Tres Gobernaciones,Cuatro Gobernaciones,rta1
33,Las autoridades que administraban la Gobernación del Chaco,Eran elegidas por voto popular,Eran nombradas por el Poder Ejecutivo Nacional,Ninguna es correcta,rta2
34,La Conquista Militar del Chaco se produjo,Durante la Triple Alianza,Al terminar la Guerra de la Triple Alianza,Antes de la Guerra de la Triple Alianza,rta2
35,La llegada de los inmigrantes se dio a raíz,Ley Avellaneda sancionada en 1876,Ley 28 de Bartolomé Mitre,Ley 576 de 1872,rta1
36,"A inicios del siglo XX, la actividad económica más importante del territorio era",Algodón,Pesca,Caza,rta1
37,El tanino se desarrolló en,Resistencia,Puerto Tirol,Vicentini,rta3
38,Las localidades algodoneras fueron,Resistencia y Margarita Belén,Margarita Belén y Quitilipi,Quitilipi y Machagai,rta3
39,Nuestra primera constitución se promulgó en,"1951","1994","1862",rta1
40,¿Cuántas rutas nacionales recorren la provincia?,"5","4","3",rta3
41,La Ruta Nacional 16 recorre entre:,Entre Santa Silvina y Resistencia,Entre Resistencia y Pampa del Infierno,Entre Resistencia y Juan José Castelli,rta2
42,¿Qué Parques Nacionales existen en el Chaco?,Parque Nacional Chaco,Parque Nacional El Impenetrable,Parque Nacional Iberá,rta1
43,Campo del Cielo es reconocido por,Museo a cielo abierto de meteoritos,Capital de los Inmigrantes,Ciudad de las Esculturas,rta1
44,Isla del Cerrito se realiza la:,Fiesta del Dorado,Fiesta del Suburí,Fiesta del Moncholo,rta1
45,La Fiesta Provincial del Inmigrante se realiza en,Castelli,Las Breñas,Puerto Tirol,rta2
46,El Festival Nacional Taninero se desarrolla en,Puerto Vilelas,Charata,Puerto Tirol,rta3
47,La Fiesta Provincial del Chivo se desarrolla en,Pampa del Indio,Pampa del Infierno,Castelli,rta1
48,La Fiesta Nacional del Algodón se desarrolla en,Charata,Gancedo,Presidencia Roque Sáenz Peña,rta3
49,Las Reservas Naturales del Chaco son,Reserva Natural Provincial Fuerte Esperanza y Parque Provincial Loro Hablador,Campo del Cielo y Villa Río Bermejito,Ninguna es correcta,rta1
50,La Feria de Artesanía Aborigen Chaqueña se realiza en,Las Breñas,Fontana,Quitilipi,rta3
51,¿Qué curso de agua se encuentra emplazado entre la provincia del Chaco y Formosa?,Río Pilcomayo,Río Bermejo,Río Negro,rta2
52,El relieve del Chaco característico es,Montaña,Sierra,Llanura,rta3
53,"Entre los ríos autóctonos del Chaco, se encuentran:",Paraná y Paraguay,"Oro, Tragadero, Negro y  Guaycurú","Paraná, Negro y Tragadero",rta2
54,Juan José Castelli es considerada como,Portal del Impenetrable,Perla del Paraná,Ciudad de las Esculturas,rta1
55,La ciudad de las Breñas logró jugar en el Campeonato Argentino de Clubes en,Baloncesto,Fútbol,Tiro,rta1
56,En el municipio de Colonia Benítez se encuentra,Museo Casa y Jardín Schulz,Estación Experimental Agropecuaria del INTA,Museo a cielo abierto,rta1
57,La patrona de Barranqueras es,Inmaculada Concepción de la Virgen María,Virgen de Lourdes,Virgen de Itatí,rta1
58,El Patrono de la ciudad de Resistencia es:,San Fernando Rey,El Cura Brochero,Virgen de Itatí,rta1
59,En Presidencia Roque Saénz Peña se encuentra:,Complejo Terma,Complejo Ecológico y Zooloógico,Todas son correctas,rta3
60,En Las Palmas se puede recorrer:,Las ruinas del Ingenio Azucarero,Las termas,Ninguna es correcta,rta1
16,¿Quién fue el primer gobernador del Territorio Nacional del Chaco?,Gral. Lorenzo Winter,Gral. Julio de Vedia,Gral. Antonio Dónovan,rta2
61,¿Cuántos departamentos tiene la provincia del Chaco?,"25","20","10",rta1
